Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;152;17;7;595;11;48;10;12;1;11;0;32;896
FAHRRAD & PEDELEC;79;866;54;64;2304;14;107;43;31;7;53;0;165;3787
KRAFTRAD mit Vers.-Kennz.;7;22;20;11;670;9;25;26;10;2;12;0;40;854
KRAFTRAD mit amtl. Kennz.;12;93;23;366;2579;13;89;67;52;6;93;0;124;3517
PKW;250;899;282;1700;28704;125;1517;790;1109;88;286;0;404;36154
BUS;4;8;2;14;206;2;16;13;10;0;4;0;10;289
LKW ≤ 3,5t;8;32;14;70;921;4;112;43;41;9;8;0;21;1283
LKW > 3,5t;4;27;13;44;835;6;113;99;66;6;7;0;25;1245
SATTELZUG-LKW;8;17;3;31;1236;10;199;104;172;7;5;0;22;1814
ÜBRIGE GÜTER-KFZ;1;2;2;7;128;1;9;9;11;4;2;0;2;178
LANDWIRT. KFZ;0;12;4;52;304;1;17;5;6;0;9;0;0;410
STRASSENBAHN;3;0;0;0;6;0;0;0;0;0;0;0;0;9
WOHNMOBIL, EISENBAHN, etc.;2;23;9;32;269;4;24;20;12;1;10;0;21;427
INSG;378;2153;443;2398;38757;200;2276;1229;1532;131;500;0;866;50863
