Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2351;134;155;15864;404;736;226;81;29;34;46;482;20542
FAHRRAD & PEDELEC;1631;5648;219;186;35423;322;1510;517;234;69;55;9;1209;47032
KRAFTRAD mit Vers.-Kennz.;139;200;92;36;4979;49;234;84;49;9;14;2;167;6054
KRAFTRAD mit amtl. Kennz.;202;283;52;192;7550;47;323;100;48;21;34;1;185;9038
PKW;4780;11389;2378;2985;48167;437;2067;918;671;137;173;45;471;74618
BUS;335;300;22;30;1743;53;69;39;20;6;3;1;126;2747
LKW ≤ 3,5t;135;324;112;119;1170;21;76;33;14;4;10;3;22;2043
LKW > 3,5t;59;134;34;39;570;7;33;29;9;5;5;4;11;939
SATTELZUG-LKW;19;66;14;27;325;4;11;11;16;1;3;1;6;504
ÜBRIGE GÜTER-KFZ;9;25;2;7;86;5;3;3;1;2;2;0;0;145
LANDWIRT. KFZ;5;19;8;12;142;1;8;2;0;0;3;0;4;204
STRASSENBAHN;319;175;7;3;672;6;34;13;7;2;1;15;29;1283
WOHNMOBIL, EISENBAHN, etc.;72;167;31;43;706;104;36;20;10;1;10;10;40;1250
INSG;7705;21081;3105;3834;117397;1460;5140;1995;1160;286;347;137;2752;166399
