Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;3;0;2;125;2;11;12;7;3;1;3;6;175
FAHRRAD & PEDELEC;4;4;1;0;40;2;2;26;11;3;1;0;2;96
KRAFTRAD mit Vers.-Kennz.;2;0;1;0;4;0;0;0;0;0;0;0;0;7
KRAFTRAD mit amtl. Kennz.;2;1;0;0;36;0;3;2;0;1;1;0;1;47
PKW;55;45;4;6;28;1;4;5;2;0;1;0;3;154
BUS;4;1;0;1;1;0;1;0;0;0;0;0;0;8
LKW ≤ 3,5t;0;0;0;0;2;0;0;0;0;0;0;0;0;2
LKW > 3,5t;6;5;1;2;7;0;0;1;0;0;0;0;1;23
SATTELZUG-LKW;3;3;0;2;3;0;0;0;1;0;0;0;0;12
ÜBRIGE GÜTER-KFZ;1;0;0;0;0;0;0;0;0;0;0;0;0;1
LANDWIRT. KFZ;1;0;1;0;1;0;0;0;0;0;0;0;0;3
STRASSENBAHN;12;7;0;0;0;0;1;0;0;0;0;0;0;20
WOHNMOBIL, EISENBAHN, etc.;12;6;0;2;12;0;1;0;0;0;0;0;0;33
INSG;102;75;8;15;259;5;23;46;21;7;4;3;13;581
