Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2536;151;133;15922;448;804;205;85;35;51;67;654;21091
FAHRRAD & PEDELEC;1725;6280;257;232;36300;298;1557;528;252;66;108;9;1385;48997
KRAFTRAD mit Vers.-Kennz.;149;183;85;48;5245;53;234;96;38;12;27;1;172;6343
KRAFTRAD mit amtl. Kennz.;180;340;67;533;9231;69;382;149;93;24;136;2;320;11526
PKW;4930;11932;2436;4283;76112;583;3477;1726;1719;239;437;48;991;108913
BUS;372;286;30;44;1912;60;98;60;29;5;7;2;131;3036
LKW ≤ 3,5t;123;320;91;168;1974;20;200;75;60;12;12;2;44;3101
LKW > 3,5t;52;145;48;89;1447;27;138;117;76;10;13;2;35;2199
SATTELZUG-LKW;36;69;16;52;1514;15;212;123;188;8;6;1;30;2270
ÜBRIGE GÜTER-KFZ;10;21;4;11;239;5;19;13;15;5;3;1;4;350
LANDWIRT. KFZ;9;34;11;66;436;2;20;7;7;0;15;0;4;611
STRASSENBAHN;340;164;3;7;613;7;26;22;12;3;0;10;25;1232
WOHNMOBIL, EISENBAHN, etc.;60;214;42;63;1089;98;70;47;29;4;19;8;68;1811
INSG;7986;22524;3241;5729;152034;1685;7237;3168;2603;423;834;153;3863;211480
