Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2;2;6;162;4;20;24;15;1;1;4;3;244
FAHRRAD & PEDELEC;1;14;2;2;77;2;13;26;11;4;0;1;4;157
KRAFTRAD mit Vers.-Kennz.;1;2;1;1;20;0;4;0;2;0;0;0;1;32
KRAFTRAD mit amtl. Kennz.;3;4;0;15;134;2;9;2;4;3;7;0;1;184
PKW;85;90;17;90;302;1;17;7;11;0;4;0;7;631
BUS;3;5;1;3;12;0;0;0;0;1;0;0;1;26
LKW ≤ 3,5t;5;4;2;5;17;0;0;0;1;0;0;0;1;35
LKW > 3,5t;10;7;2;6;55;0;11;1;1;1;0;0;0;94
SATTELZUG-LKW;6;8;2;7;88;3;28;8;10;1;0;0;3;164
ÜBRIGE GÜTER-KFZ;0;2;0;1;12;0;0;2;1;0;0;0;0;18
LANDWIRT. KFZ;0;2;0;7;8;0;0;0;0;0;0;0;0;17
STRASSENBAHN;23;6;0;0;2;0;0;0;0;0;1;0;1;33
WOHNMOBIL, EISENBAHN, etc.;7;14;2;1;24;0;2;0;1;0;0;0;2;53
INSG;144;160;31;144;913;12;104;70;57;11;13;5;24;1688
