Hauptverursacher >;FUSSGÄNGER;FAHRRAD & PEDELEC;KRAFTRAD mit Vers.-Kennz.;KRAFTRAD mit amtl. Kennz.;PKW;BUS;LKW ≤ 3,5t;LKW > 3,5t;SATTELZUG-LKW;ÜBRIGE GÜTER-KFZ;LANDWIRT. KFZ;STRASSENBAHN;WOHNMOBIL, EISENBAHN, etc.;INSG
FUSSGÄNGER;0;2;0;0;35;3;5;1;3;0;0;0;0;49
FAHRRAD & PEDELEC;0;4;2;3;35;0;7;2;3;0;0;0;0;56
KRAFTRAD mit Vers.-Kennz.;0;0;0;0;13;0;0;2;0;0;0;0;0;15
KRAFTRAD mit amtl. Kennz.;0;6;0;11;99;0;7;3;0;0;15;0;4;145
PKW;30;52;9;73;253;1;12;3;9;2;2;0;4;450
BUS;1;0;0;2;8;0;1;1;0;0;0;0;0;13
LKW ≤ 3,5t;0;3;1;6;22;0;0;1;0;0;1;0;4;38
LKW > 3,5t;1;4;2;5;52;0;9;2;1;0;0;0;1;77
SATTELZUG-LKW;5;4;0;3;76;1;21;5;6;0;0;0;1;122
ÜBRIGE GÜTER-KFZ;0;1;0;0;9;0;0;0;2;0;0;0;0;12
LANDWIRT. KFZ;0;2;0;7;9;0;0;0;1;0;0;0;0;19
STRASSENBAHN;1;0;0;0;0;0;0;0;0;0;0;0;0;1
WOHNMOBIL, EISENBAHN, etc.;0;2;1;2;10;0;1;0;0;0;0;0;0;16
INSG;38;80;15;112;621;5;63;20;25;2;18;0;14;1013
