Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;4;0;1;212;7;52;5;4;0;5;13;0;303
Fahrrad;2;6;0;3;73;2;34;15;2;1;4;2;1;145
Mofa, Moped;1;0;0;1;16;0;3;0;0;0;0;2;0;23
Motorrad;6;5;1;12;151;2;19;2;10;0;0;3;0;211
Personenkraftwagen;140;93;15;118;418;2;40;17;6;2;1;7;0;859
Kraftomnibus, Obus;8;4;0;2;15;0;0;0;0;0;1;1;1;32
Liefer- und Lastkraftw.;20;15;4;17;108;0;18;0;0;0;0;1;1;184
Sattelschlepper;7;7;1;10;82;0;21;5;0;0;0;0;0;133
Landwirt. Zugmaschine;0;0;2;3;5;0;2;0;0;0;0;0;0;12
andere Zugmaschine;1;0;0;1;2;0;0;0;0;0;0;0;0;4
LKW mit Spezialaufbau;0;0;1;1;8;1;1;0;0;0;0;0;0;12
anderes Fahrzeug;36;8;3;4;22;0;1;0;0;0;0;0;1;75
sonstige Person;0;1;0;1;2;0;0;0;0;0;1;0;0;5
Unfälle zwischen zwei Beteiligten insg.;221;143;27;174;1114;14;191;44;22;3;12;29;4;1998
