Unfälle mit Getöteten – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2;0;2;41;1;5;2;1;1;0;4;0;59
Fahrrad;0;1;0;2;32;0;8;3;2;0;0;1;0;49
Mofa, Moped;0;0;0;2;8;0;0;0;0;0;0;1;0;11
Motorrad;0;9;0;20;105;1;17;1;11;1;0;0;0;165
Personenkraftwagen;34;52;15;67;338;0;30;10;4;0;2;3;2;557
Kraftomnibus, Obus;2;0;1;2;20;1;1;0;0;0;0;0;0;27
Liefer- und Lastkraftw.;11;8;2;18;117;2;19;5;0;0;1;1;0;184
Sattelschlepper;4;2;0;5;87;1;13;2;0;0;0;2;0;116
Landwirt. Zugmaschine;0;0;1;4;5;0;2;1;0;0;0;0;0;13
andere Zugmaschine;0;0;0;2;4;0;0;0;0;0;0;0;0;6
LKW mit Spezialaufbau;0;0;0;2;8;0;1;0;0;0;0;0;0;11
anderes Fahrzeug;0;1;1;5;13;0;3;0;0;0;0;0;0;23
sonstige Person;0;1;0;0;2;0;0;0;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;51;76;20;131;780;6;99;24;18;2;3;12;2;1224
