Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;4;0;1;186;4;37;14;5;1;7;7;0;266
Fahrrad;4;12;1;5;79;4;36;8;4;2;0;4;0;159
Mofa, Moped;0;0;1;1;22;0;9;0;2;0;0;1;0;36
Motorrad;6;5;3;6;158;4;21;5;8;1;0;2;1;220
Personenkraftwagen;112;94;21;84;382;1;21;13;4;0;0;2;0;734
Kraftomnibus, Obus;5;3;1;3;25;0;0;0;0;0;0;0;0;37
Liefer- und Lastkraftw.;10;15;5;19;118;0;15;5;0;0;0;0;0;187
Sattelschlepper;5;6;3;5;81;0;24;7;0;0;0;1;0;132
Landwirt. Zugmaschine;0;0;1;4;9;0;0;0;0;0;0;0;0;14
andere Zugmaschine;0;0;0;1;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;1;0;0;0;6;0;0;0;0;0;0;0;0;7
anderes Fahrzeug;32;13;3;5;29;0;4;0;0;0;0;1;0;87
sonstige Person;0;0;0;0;3;0;2;0;0;0;1;0;0;6
Unfälle zwischen zwei Beteiligten insg.;175;152;39;134;1099;13;169;52;23;4;8;18;1;1887
