Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;1;0;1;0;1;0;0;0;0;0;0;3
Fahrrad;0;0;1;1;24;0;1;0;0;0;0;0;0;27
Mofa, Moped;1;1;2;2;217;1;17;2;2;0;0;23;0;268
Motorrad;1;2;1;10;450;2;68;9;4;1;4;38;1;591
Personenkraftwagen;61;73;172;228;38284;193;2894;770;229;29;90;2148;51;45222
Kraftomnibus, Obus;0;0;2;3;446;1;33;1;2;1;0;5;0;494
Liefer- und Lastkraftw.;1;3;8;17;2956;13;316;104;20;7;8;114;2;3569
Sattelschlepper;0;0;0;4;937;1;143;84;6;1;3;40;1;1220
Landwirt. Zugmaschine;0;0;1;1;223;1;22;4;4;1;1;5;0;263
andere Zugmaschine;0;0;0;0;39;0;3;3;0;1;0;1;0;47
LKW mit Spezialaufbau;0;0;0;0;128;1;12;2;1;0;1;1;1;147
anderes Fahrzeug;0;0;2;2;641;2;48;10;4;1;1;12;1;724
sonstige Person;0;0;0;0;33;0;1;1;1;0;0;0;0;36
Unfälle zwischen zwei Beteiligten insg.;64;79;190;268;44379;215;3559;990;273;42;108;2387;57;52611
