Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;2;4;0;1;2;0;0;0;1;0;10
Personenkraftwagen;2;0;0;15;2512;25;566;390;1;11;12;459;2;3995
Kraftomnibus, Obus;0;0;0;0;17;0;4;1;0;0;0;1;0;23
Liefer- und Lastkraftw.;2;0;0;1;476;2;110;74;0;0;1;50;1;717
Sattelschlepper;0;0;0;0;548;0;113;85;0;1;3;22;0;772
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;8;0;1;1;0;0;0;1;0;11
LKW mit Spezialaufbau;0;0;0;0;13;0;4;7;0;1;0;0;0;25
anderes Fahrzeug;0;0;0;0;32;0;7;5;0;0;2;2;0;48
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;4;0;0;18;3612;27;806;565;1;13;18;536;3;5603
