Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;12;0;1;0;0;0;0;0;0;13
Fahrrad;0;0;0;1;27;0;0;0;0;0;0;0;0;28
Mofa, Moped;0;1;2;3;224;6;29;4;0;1;0;18;0;288
Motorrad;0;4;3;8;534;9;68;6;3;0;1;36;0;672
Personenkraftwagen;87;96;251;291;38849;176;3077;693;214;48;89;1918;73;45862
Kraftomnibus, Obus;0;0;2;6;418;1;34;4;3;1;0;5;0;474
Liefer- und Lastkraftw.;4;7;11;16;3192;12;369;92;23;2;11;96;5;3840
Sattelschlepper;0;0;1;6;921;1;120;72;5;2;3;36;0;1167
Landwirt. Zugmaschine;0;0;0;4;205;0;22;4;2;0;1;2;0;240
andere Zugmaschine;0;0;0;0;45;0;10;1;0;0;0;1;0;57
LKW mit Spezialaufbau;0;0;0;2;120;0;11;4;0;0;1;2;0;140
anderes Fahrzeug;0;0;2;1;718;0;42;5;3;0;3;16;0;790
sonstige Person;0;0;0;0;32;0;1;1;0;0;0;0;0;34
Unfälle zwischen zwei Beteiligten insg.;91;108;272;338;45297;205;3784;886;253;54;109;2130;78;53605
