Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;11;0;0;0;0;0;0;0;0;11
Fahrrad;0;0;1;0;25;0;2;0;0;0;0;0;0;28
Mofa, Moped;0;0;5;2;249;2;39;2;0;0;0;25;1;325
Motorrad;2;3;3;14;489;1;51;5;4;0;2;45;1;620
Personenkraftwagen;79;71;240;245;38618;203;2960;677;227;30;100;2008;61;45519
Kraftomnibus, Obus;0;0;1;2;426;3;21;3;0;1;0;6;1;464
Liefer- und Lastkraftw.;3;3;8;12;3249;15;314;93;20;7;11;127;3;3865
Sattelschlepper;0;0;2;4;921;1;128;86;6;1;1;42;0;1192
Landwirt. Zugmaschine;0;0;1;0;207;2;20;6;7;2;1;3;0;249
andere Zugmaschine;0;0;0;0;40;0;3;3;0;1;1;0;0;48
LKW mit Spezialaufbau;0;0;0;4;130;1;16;2;0;0;0;0;0;153
anderes Fahrzeug;0;0;1;0;649;1;34;6;1;0;2;12;0;706
sonstige Person;0;0;0;1;31;0;1;0;0;0;0;0;0;33
Unfälle zwischen zwei Beteiligten insg.;84;77;262;284;45045;229;3589;883;265;42;118;2268;67;53213
