Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;1;5;0;1;2;0;0;1;2;0;12
Personenkraftwagen;1;0;0;9;1948;12;403;327;1;6;7;416;1;3131
Kraftomnibus, Obus;0;0;0;0;15;0;2;0;1;0;0;0;0;18
Liefer- und Lastkraftw.;1;0;0;1;333;1;81;56;0;0;0;39;0;512
Sattelschlepper;0;0;0;1;428;0;86;55;0;1;1;27;0;599
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;7;0;1;1;0;0;0;0;0;9
LKW mit Spezialaufbau;0;0;0;0;13;0;2;1;0;0;0;0;0;16
anderes Fahrzeug;0;0;0;0;24;0;5;2;0;0;1;1;0;33
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;2;0;0;12;2774;13;581;444;2;7;10;485;1;4331
