Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;32;0;12;2;0;0;0;5;0;51
Fahrrad;0;1;0;0;3;0;0;0;0;0;0;0;0;4
Mofa, Moped;0;0;0;0;2;0;1;0;0;0;0;0;0;3
Motorrad;0;0;0;19;127;1;14;7;0;0;0;9;0;177
Personenkraftwagen;25;3;0;166;5358;14;685;561;0;6;12;135;5;6970
Kraftomnibus, Obus;0;0;0;1;23;0;5;3;0;0;0;0;0;32
Liefer- und Lastkraftw.;3;0;0;16;686;1;152;84;0;1;0;5;0;948
Sattelschlepper;3;0;0;13;613;3;175;98;0;1;1;7;0;914
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;6;0;4;2;0;0;0;0;0;12
LKW mit Spezialaufbau;0;0;0;0;20;0;3;4;0;1;1;0;0;29
anderes Fahrzeug;0;0;0;3;52;1;7;7;0;0;1;3;0;74
sonstige Person;0;0;0;0;3;0;1;0;0;0;0;2;0;6
Unfälle zwischen zwei Beteiligten insg.;31;4;0;218;6926;20;1059;768;0;9;15;166;5;9221
