Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;28;1;10;4;1;0;0;2;0;46
Fahrrad;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;11;131;0;8;5;0;0;0;13;2;170
Personenkraftwagen;27;2;0;154;5152;14;722;542;0;6;11;116;4;6750
Kraftomnibus, Obus;0;0;0;1;27;2;7;3;0;0;0;2;1;43
Liefer- und Lastkraftw.;8;0;0;20;643;6;196;105;0;2;4;11;0;995
Sattelschlepper;8;0;0;14;569;1;170;128;0;1;3;10;0;904
Landwirt. Zugmaschine;0;0;0;0;4;0;1;0;0;0;0;0;0;5
andere Zugmaschine;0;0;0;0;6;0;3;0;0;1;0;1;0;11
LKW mit Spezialaufbau;0;0;0;0;17;1;7;4;0;0;0;0;0;29
anderes Fahrzeug;3;0;0;0;48;0;9;4;0;0;0;2;0;66
sonstige Person;0;0;0;0;5;0;2;0;0;0;0;0;0;7
Unfälle zwischen zwei Beteiligten insg.;46;2;0;200;6633;25;1135;795;1;10;18;157;7;9029
