Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;3;0;1;158;6;41;3;2;0;5;8;0;227
Fahrrad;2;3;0;1;44;1;27;12;1;1;4;0;1;97
Mofa, Moped;0;0;0;0;3;0;1;0;0;0;0;1;0;5
Motorrad;3;1;1;0;52;1;4;1;0;0;0;0;0;63
Personenkraftwagen;91;44;5;23;41;1;6;0;0;2;0;2;0;215
Kraftomnibus, Obus;7;3;0;0;5;0;0;0;0;0;1;1;1;18
Liefer- und Lastkraftw.;6;9;4;4;13;0;1;0;0;0;0;0;1;38
Sattelschlepper;2;2;0;4;4;0;1;0;0;0;0;0;0;13
Landwirt. Zugmaschine;0;0;1;1;0;0;0;0;0;0;0;0;0;2
andere Zugmaschine;1;0;0;0;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;0;0;0;0;1;0;0;0;0;0;0;0;0;1
anderes Fahrzeug;33;8;2;1;7;0;0;0;0;0;0;0;1;52
sonstige Person;0;0;0;1;0;0;0;0;0;0;1;0;0;2
Unfälle zwischen zwei Beteiligten insg.;145;73;13;36;329;9;81;16;3;3;11;12;4;735
