Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;1;0;0;1;0;0;0;1;0;3
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;0;3;0;1;0;0;0;0;0;0;4
Personenkraftwagen;4;0;0;0;36;0;9;6;0;0;0;1;0;56
Kraftomnibus, Obus;1;0;0;0;1;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;3;0;0;2;12;2;11;3;0;0;0;0;0;33
Sattelschlepper;2;0;0;2;26;1;10;2;0;0;0;1;0;44
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
LKW mit Spezialaufbau;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderes Fahrzeug;0;0;0;0;2;0;0;0;0;0;0;0;0;2
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;10;0;0;4;83;3;31;12;0;0;0;3;0;146
