Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;1;0;1;132;9;29;4;1;0;4;6;0;187
Fahrrad;2;7;1;1;32;1;23;16;1;0;1;2;0;87
Mofa, Moped;1;1;0;0;1;0;3;0;0;0;0;0;0;6
Motorrad;4;2;0;4;51;0;7;1;1;0;0;1;0;71
Personenkraftwagen;64;47;8;16;46;0;1;1;1;0;0;0;0;184
Kraftomnibus, Obus;5;3;0;0;3;0;0;0;0;0;0;0;0;11
Liefer- und Lastkraftw.;10;8;3;4;8;0;2;0;0;0;0;0;0;35
Sattelschlepper;4;4;1;0;9;0;0;0;0;0;0;0;0;18
Landwirt. Zugmaschine;1;0;1;0;2;0;0;0;0;0;0;0;0;4
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;1;0;0;0;0;0;0;0;0;0;0;0;0;1
anderes Fahrzeug;24;10;1;2;8;0;2;0;1;0;0;1;0;49
sonstige Person;0;0;0;0;2;0;0;1;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;116;83;15;28;294;10;67;23;5;0;5;10;0;656
